1	48060567	52060567
2	85941853	100407914
2	134382738	137882738
2	182882739	189882739
3	47500000	50000000
3	83500000	87000000
3	89000000	97500000
5	44500000	50500000
5	98000000	100500000
5	129000000	132000000
5	135500000	138500000
6	25500000	33500000
6	57000000	64000000
6	140000000	142500000
7	55193285	66193285
8	8000000	12000000
8	43000000	50000000
8	112000000	115000000
10	37000000	43000000
11	46000000	57000000
11	87500000	90500000
12	33000000	40000000
12	109521663	112021663
20	32000000	34500000
23	14150264	16650264
23	25650264	28650264
23	33150264	35650264
23	55133704	60500000
23	65133704	67633704
23	71633704	77580511
23	80080511	86080511
23	100580511	103080511
23	125602146	128102146
23	129102146	131602146
